Edge { left: 3571, right: 9936, weight: Weight(782) }
Edge { left: 3837, right: 9936, weight: Weight(647) }
Edge { left: 6401, right: 7508, weight: Weight(1161) }
Edge { left: 5887, right: 6401, weight: Weight(956) }
Edge { left: 1367, right: 5887, weight: Weight(561) }
Edge { left: 7499, right: 8721, weight: Weight(1161) }
Edge { left: 625, right: 8721, weight: Weight(494) }
Edge { left: 625, right: 3194, weight: Weight(440) }
Edge { left: 1742, right: 8721, weight: Weight(1135) }
Edge { left: 2035, right: 6440, weight: Weight(1173) }
Edge { left: 6440, right: 8580, weight: Weight(160) }
Edge { left: 431, right: 8580, weight: Weight(1114) }
Edge { left: 431, right: 6182, weight: Weight(720) }
Edge { left: 1903, right: 6182, weight: Weight(323) }
Edge { left: 1903, right: 3663, weight: Weight(249) }
Edge { left: 1903, right: 3045, weight: Weight(449) }
Edge { left: 2218, right: 3045, weight: Weight(321) }
Edge { left: 2218, right: 4302, weight: Weight(627) }
Edge { left: 4302, right: 4807, weight: Weight(638) }
Edge { left: 989, right: 4807, weight: Weight(581) }
Edge { left: 4302, right: 4381, weight: Weight(659) }
Edge { left: 989, right: 3828, weight: Weight(958) }
Edge { left: 2749, right: 3828, weight: Weight(514) }
Edge { left: 523, right: 4381, weight: Weight(961) }
Edge { left: 180, right: 989, weight: Weight(1011) }
Edge { left: 180, right: 3642, weight: Weight(819) }
Edge { left: 3642, right: 8618, weight: Weight(555) }
Edge { left: 2884, right: 8618, weight: Weight(298) }
Edge { left: 424, right: 2884, weight: Weight(280) }
Edge { left: 424, right: 8396, weight: Weight(534) }
Edge { left: 6353, right: 8396, weight: Weight(375) }
Edge { left: 5748, right: 6353, weight: Weight(366) }
Edge { left: 8618, right: 9794, weight: Weight(549) }
Edge { left: 2041, right: 8396, weight: Weight(571) }
Edge { left: 2433, right: 8396, weight: Weight(582) }
Edge { left: 2041, right: 7622, weight: Weight(658) }
Edge { left: 3011, right: 7622, weight: Weight(711) }
Edge { left: 428, right: 9794, weight: Weight(872) }
Edge { left: 428, right: 3131, weight: Weight(1084) }
