Edge { left: 301, right: 500, weight: Weight(2051)
Edge { left: 301, right: 999, weight: Weight(2242)
Edge { left: 22, right: 999, weight: Weight(1675)
Edge { left: 285, right: 999, weight: Weight(1978)
Edge { left: 108, right: 438, weight: Weight(3453)
Edge { left: 108, right: 735, weight: Weight(3173)
Edge { left: 464, right: 735, weight: Weight(3078)
Edge { left: 443, right: 464, weight: Weight(1671)
Edge { left: 168, right: 443, weight: Weight(673)
Edge { left: 464, right: 503, weight: Weight(1702)
Edge { left: 267, right: 503, weight: Weight(2756)
Edge { left: 267, right: 661, weight: Weight(605)
Edge { left: 130, right: 427, weight: Weight(3540)
Edge { left: 130, right: 595, weight: Weight(1625)
Edge { left: 251, right: 371, weight: Weight(3567)
Edge { left: 649, right: 660, weight: Weight(3568)
Edge { left: 660, right: 955, weight: Weight(3227)
Edge { left: 177, right: 955, weight: Weight(3364)
Edge { left: 206, right: 555, weight: Weight(3592)
Edge { left: 206, right: 683, weight: Weight(3317)
Edge { left: 373, right: 683, weight: Weight(1792)
Edge { left: 57, right: 373, weight: Weight(746)
Edge { left: 57, right: 902, weight: Weight(1478)
Edge { left: 384, right: 902, weight: Weight(1397)
Edge { left: 384, right: 745, weight: Weight(1317)
Edge { left: 370, right: 384, weight: Weight(1329)
Edge { left: 626, right: 745, weight: Weight(1588)
Edge { left: 613, right: 745, weight: Weight(2837)
Edge { left: 122, right: 370, weight: Weight(3107)
Edge { left: 122, right: 132, weight: Weight(3060)
Edge { left: 393, right: 683, weight: Weight(3231)
Edge { left: 393, right: 451, weight: Weight(1960)
Edge { left: 364, right: 451, weight: Weight(2294)
Edge { left: 364, right: 524, weight: Weight(2052)
Edge { left: 524, right: 988, weight: Weight(1103)
Edge { left: 95, right: 988, weight: Weight(1779)
Edge { left: 95, right: 588, weight: Weight(1276)
Edge { left: 380, right: 588, weight: Weight(591)
Edge { left: 380, right: 768, weight: Weight(167)
Edge { left: 316, right: 768, weight: Weight(892)
Edge { left: 316, right: 642, weight: Weight(1998)
Edge { left: 20, right: 642, weight: Weight(600)
Edge { left: 20, right: 118, weight: Weight(1873)
Edge { left: 118, right: 802, weight: Weight(2339)
Edge { left: 588, right: 781, weight: Weight(2374)
Edge { left: 691, right: 781, weight: Weight(798)
Edge { left: 691, right: 983, weight: Weight(2004)
Edge { left: 705, right: 983, weight: Weight(1262)
Edge { left: 682, right: 705, weight: Weight(2318)
Edge { left: 184, right: 682, weight: Weight(1764)
Edge { left: 184, right: 896, weight: Weight(1121)
Edge { left: 694, right: 896, weight: Weight(1459)
Edge { left: 599, right: 694, weight: Weight(1620)
Edge { left: 181, right: 682, weight: Weight(2190)
Edge { left: 914, right: 988, weight: Weight(2410)
